id,companyId,employeeId,mesReferencia,valorDiario,diasUteis,valorTotal,operadora,observacoes,createdAt,updatedAt,valorCafe,valorLanche,valorJanta,valorVA,status,motivoAlteracao,geradoPor,aprovadoPor
30170,60002,420079,2026-02,"10,00",22,"680,75",iFood Benefícios,,2026-02-28 13:30:45,2026-03-01 21:27:47,"119,90","100,10","0,00","460,75",pago,,Felipe Costa Alves,Felipe Costa Alves
30171,60002,420080,2026-02,"10,00",22,"680,75",iFood Benefícios,,2026-02-28 13:30:45,2026-03-01 21:27:47,"119,90","100,10","0,00","460,75",pago,,Felipe Costa Alves,Felipe Costa Alves
30172,60002,420081,2026-02,"10,00",22,"680,75",iFood Benefícios,,2026-02-28 13:30:45,2026-03-01 21:27:47,"119,90","100,10","0,00","460,75",pago,,Felipe Costa Alves,Felipe Costa Alves
30173,60002,420082,2026-02,"10,00",22,"680,75",iFood Benefícios,,2026-02-28 13:30:45,2026-03-01 21:27:47,"119,90","100,10","0,00","460,75",pago,,Felipe Costa Alves,Felipe Costa Alves
30174,60002,420083,2026-02,"10,00",22,"680,75",iFood Benefícios,,2026-02-28 13:30:45,2026-03-01 21:27:47,"119,90","100,10","0,00","460,75",pago,,Felipe Costa Alves,Felipe Costa Alves
30175,60002,420084,2026-02,"10,00",22,"680,75",iFood Benefícios,,2026-02-28 13:30:45,2026-03-01 21:27:47,"119,90","100,10","0,00","460,75",pago,,Felipe Costa Alves,Felipe Costa Alves
30176,60002,420085,2026-02,"10,00",22,"680,75",iFood Benefícios,,2026-02-28 13:30:45,2026-03-01 21:27:47,"119,90","100,10","0,00","460,75",pago,,Felipe Costa Alves,Felipe Costa Alves
30177,60002,420086,2026-02,"10,00",22,"680,75",iFood Benefícios,,2026-02-28 13:30:45,2026-03-01 21:27:47,"119,90","100,10","0,00","460,75",pago,,Felipe Costa Alves,Felipe Costa Alves
30178,60002,420087,2026-02,"10,00",22,"680,75",iFood Benefícios,,2026-02-28 13:30:45,2026-03-01 21:27:47,"119,90","100,10","0,00","460,75",pago,,Felipe Costa Alves,Felipe Costa Alves
30179,60002,420088,2026-02,"10,00",22,"680,75",iFood Benefícios,,2026-02-28 13:30:45,2026-03-01 21:27:47,"119,90","100,10","0,00","460,75",pago,,Felipe Costa Alves,Felipe Costa Alves
30180,60002,420089,2026-02,"10,00",22,"680,75",iFood Benefícios,,2026-02-28 13:30:45,2026-03-01 21:27:47,"119,90","100,10","0,00","460,75",pago,,Felipe Costa Alves,Felipe Costa Alves
30181,60002,420090,2026-02,"10,00",22,"680,75",iFood Benefícios,,2026-02-28 13:30:45,2026-03-01 21:27:47,"119,90","100,10","0,00","460,75",pago,,Felipe Costa Alves,Felipe Costa Alves
30182,60002,420091,2026-02,"10,00",22,"680,75",iFood Benefícios,,2026-02-28 13:30:45,2026-03-01 21:27:47,"119,90","100,10","0,00","460,75",pago,,Felipe Costa Alves,Felipe Costa Alves
30183,60002,420092,2026-02,"10,00",22,"680,75",iFood Benefícios,,2026-02-28 13:30:45,2026-03-01 21:27:47,"119,90","100,10","0,00","460,75",pago,,Felipe Costa Alves,Felipe Costa Alves
