id,companyId,nome,ca,validadeCA,fabricante,fornecedor,quantidadeEstoque,createdAt,updatedAt,valor_produto,tempo_minimo_troca,categoria,tamanho,fornecedor_cnpj,fornecedor_contato,fornecedor_telefone,fornecedor_email,fornecedor_endereco,cor_capacete,condicao,vida_util_meses,criado_por,alterado_por
690025,60002,"Protetor facial com coroa confeccionada em polipropileno nas cores branca, azul e preta, visor confeccionado em policarbonato incolor disponível nos tamanhos 6"", 8"" e 10"" preso à coroa por meio de canaleta com trava e encaixe por meio de três pinos, carneira confeccionada em polietileno preto fixada à coroa em suas extremidades por meio de parafusos plásticos com regulagem de tamanho na parte superior da cabeça por ajuste simples e na parte de trás da cabeça nas opções por catraca e por ajuste simples.",47620,2028-07-18 00:00:00,DELTA PLUS BRASIL INDUSTRIA E COMERCIO DE EPI LTDA,Neobetel,6,2026-02-25 19:36:59,2026-02-26 14:56:28,41.87,365,EPI,,,,,,,,Novo,,,
690026,60002,"Calçado ocupacional tipo botina, fechamento em cadarço, confeccionado em couro nobuck na cor café curtido ao cromo, forro da gáspea em nãotecido, forro lateral em material têxtil, palmilha de montagem em não tecidoresinado fixada pelo sistema strobel, palmilha interna removível, solado de poliuretano bidensidade injetado diretamente no cabedal, biqueira de polipropileno para conformação.",45611,2030-05-13 00:00:00,MARLUVAS EQUIPAMENTOS DE SEGURANCA LTDA,Neobetel,1,2026-02-25 19:39:42,2026-02-26 14:41:38,158.00,270,Calcado,42,,,,,,,Novo,,,
690027,60002,Respirador e Filtro ,,,,Neobetel,16,2026-02-25 19:42:30,2026-02-25 19:42:30,,,EPI,,,,,,,,Novo,,,
690028,60002,"Vestimenta para proteção do tronco tipo capa, manga comprida com cobertura total até os punhos, com abertura frontal, peça de vestuário com cobertura a partir da base do pescoço, confeccionada em tecido poliéster revestido de policloreto de vinila (PVC) em uma das faces, costuras através de solda eletrônica. Este epi tem opções de aviamentos/acessórios/componentes: Capuz, Botões de pressão para fechamento.",36254,2030-04-09 00:00:00,PLASTCOR DO BRASIL LTDA,,55,2026-02-25 19:48:55,2026-02-25 19:48:55,17.00,180,EPI,,,,,,,,Novo,,,
690029,60002,"Macacão de segurança confeccionado em tecido DuPont™ ProShield®; elásticos nos punhos, capuz e tornozelos, zíper na parte frontal do traje coberto por uma pala.  Tamanhos: P, M, G, XG, 2XG, 3XG, 4XG, 5XG e 6XG.",38648,2030-02-20 00:00:00,PERFORMANCE SPECIALTY PRODUCTS DO BRASIL SERVICOS E COMERCIO DE PRODUTOS ELETRONICOS E DE PROTECAO E SEGURANCA LTDA.,Neobetel,2,2026-02-25 19:52:33,2026-02-26 17:49:29,22.36,30,Uniforme,XGG,,,,,,,Novo,,,
690030,60002,"Macacão de segurança confeccionado em tecido DuPont™ ProShield®; elásticos nos punhos, capuz e tornozelos, zíper na parte frontal do traje coberto por uma pala.  Tamanhos: P, M, G, XG, 2XG, 3XG, 4XG, 5XG e 6XG.",38648,2030-02-20 00:00:00,PERFORMANCE SPECIALTY PRODUCTS DO BRASIL SERVICOS E COMERCIO DE PRODUTOS ELETRONICOS E DE PROTECAO E SEGURANCA LTDA.,Neobetel,1,2026-02-25 19:53:23,2026-02-26 17:50:42,22.36,90,Uniforme,GG,,,,,,,Novo,,,
690033,60002,"Óculos de segurança constituídos de armação e visor confeccionado em uma única peça de policarbonato disponível nas cores incolor, amarelo, verde e cinza com ponte e apoio nasal injetado do mesmo material, hastes tipo espátula confeccionadas em policarbonato preto (exceto no visor verde, que as hastes são na corverde) fixadas às extremidades do visor através de parafusos metálicos.",36032,2030-06-13 00:00:00,LIBUS DO BRASIL EQUIPAMENTOS LTDA,Neobetel,71,2026-02-25 19:59:42,2026-03-05 18:36:51,3.09,180,EPI,,,,,,,,Novo,,,RODNEI ALEXANDRE DOS SANTOS SILVA
690034,60002,"Respirador Purificador de ar tipo Peça semifacial Filtrante para Partículas classe  ""S"" PFF2, de TNT e Meltblown, formato dobrável, sem válvula de exalação.",38504,2030-01-05 00:00:00,DELTA PLUS BRASIL INDUSTRIA E COMERCIO DE EPI LTDA,Neobetel,94,2026-02-25 20:03:33,2026-03-13 10:55:16,0.99,30,EPI,,,,,,,,Novo,,,
690036,60002,"Óculos de segurança modelo ampla-visão constituído de armação confeccionada em uma única peça de PVC flexível na cor cinza transparente com sistema de ventilação indireta composto de oito fendas localizados na parte superior e dez na parte inferior da armação, tirante elástico de tecido sintético preto com branco para ajuste à face do usuário e visor de policarbonato disponível nas cores incolor e cinza. O modelo cobre toda a região em torno dos olhos do usuário. Fabricante: Guangzhou (City) Dashin Photonics & Jewelry Co., Ltd.",19628,2027-09-08 00:00:00,"DVT COMERCIO, IMPORTACAO E EXPORTACAO LTDA",Neobetel,29,2026-02-25 20:05:07,2026-02-25 20:05:07,42.13,180,EPI,,,,,,,,Novo,,,
690037,60002,"Óculos de segurança modelo ampla-visão constituído de armação confeccionada em uma única peça de PVC flexível na cor cinza transparente com sistema de ventilação indireta composto de oito fendas localizados na parte superior e dez na parte inferior da armação, tirante elástico de tecido sintético preto com branco para ajuste à face do usuário e visor de policarbonato disponível nas cores incolor e cinza. O modelo cobre toda a região em torno dos olhos do usuário. Fabricante: Guangzhou (City) Dashin Photonics & Jewelry Co., Ltd.",19628,2027-09-08 00:00:00,"DVT COMERCIO, IMPORTACAO E EXPORTACAO LTDA",Neobetel,3,2026-02-25 20:06:14,2026-02-25 20:06:14,42.13,180,EPI,,,,,,,,Novo,,,
