id,companyId,tipo,nome,descricao,documentoUrl,dataEmissao,dataValidade,elaboradoPor,status,observacoes,criadoPor,criadoPorUserId,createdAt,updatedAt
1,60002,CONTRATO_SOCIAL,Contrato Social – FC Engenharia e Construção Ltda,,https://d2xsxph8kpxj0f.cloudfront.net/310419663028720190/W4MM458SKqYRWRGGQrfw8A/company-docs/60002/CONTRATO_SOCIAL-mm7v5k5trnj7.pdf,2024-01-03 00:00:00,2060-01-03 00:00:00,Felipe Costa Alves – Sócio Administrador ,vigente,,Felipe Costa Alves,601043,2026-03-01 14:46:52,2026-03-01 14:46:52
2,60002,CNPJ_CARTAO,Cartão CNPJ – FC Engenharia e Construção Ltda,,https://d2xsxph8kpxj0f.cloudfront.net/310419663028720190/W4MM458SKqYRWRGGQrfw8A/company-docs/60002/CNPJ_CARTAO-mm7v760cpxkq.pdf,2024-01-15 00:00:00,2099-01-01 00:00:00,Receita Federal do Brasil,vigente,,Felipe Costa Alves,601043,2026-03-01 14:48:07,2026-03-01 14:48:07
3,60002,OUTRO,Ficha Cadastraç,,https://d2xsxph8kpxj0f.cloudfront.net/310419663028720190/W4MM458SKqYRWRGGQrfw8A/company-docs/60002/OUTRO-mm7v86ti8ju5.pdf,2026-01-01 00:00:00,2027-01-01 00:00:00,Setor Financeiro,vigente,,Felipe Costa Alves,601043,2026-03-01 14:48:55,2026-03-01 14:48:55
