id,companyId,nome,categoria,descricao,deleted_at,created_at,updated_at
1,60004,Pintura,Acabamento,"Pintura de paredes internas e externas, texturização e massa corrida",,2026-03-10 16:27:33,2026-03-10 16:27:33
2,60002,Pintor,Pintura,,,2026-03-10 17:03:54,2026-03-10 17:05:35
3,60002,Aplicador de Papel de Parede,Acabamento,,,2026-03-10 17:05:22,2026-03-10 17:05:22
4,60002,Rejuntador,Acabamento,,,2026-03-10 17:05:44,2026-03-10 17:05:44
5,60002,Impermeabilizador,Impermeabilização,,,2026-03-10 17:07:18,2026-03-10 17:07:18
6,60002,Faxineiro,Limpeaza do Canteiro,,,2026-03-10 17:10:03,2026-03-10 17:10:03
