id,companyId,employeeId,epiDeliveryId,epi_nome,ca,quantidade,valor_unitario,valor_total,motivo_cobranca,mes_referencia,status,validado_por,validado_por_user_id,data_validacao,justificativa,createdAt,updatedAt
30001,60002,450001,540003,"LUVA PARA PROTEÇÃO CONTRA AGENTES MECÂNICOS, QUÍMICOS, BIOLÓGICOS E UMIDADE PROVENIENTE DE OPERAÇÕES COM O USO DE ÁGUA",15532,10,1.40,14.00,mau_uso,2026-02,cancelado,Sistema,,2026-02-26 12:41:55,Entrega excluída pelo usuário - desconto cancelado automaticamente,2026-02-24 13:28:57,2026-02-26 12:41:55
60001,60002,420136,1050001,Calça Brim,,1,137.20,137.20,perda,2026-02,cancelado,Felipe Costa Alves,,2026-02-27 00:00:49,Entrega excluída - desconto cancelado automaticamente,2026-02-26 20:40:26,2026-02-27 00:00:49
90001,60002,420066,1260005,"Capacete de segurança Tipo II com aba frontal classe B casco com três nervuras, com fendas laterais para acoplagem de acessórios (protetor facial ou auditivo), com suspensão fixa ao casco através de oito pontos de encaixe, regulagem de tamanho através de ajuste simples e tira absorvedora de suor em espuma coberta de material sintético com ou sem jugular ajustável, confeccionada em tira de tecido sintético e fixa na carneira e/ou separada com fechamento simples ou velcro. MARCA: UMP. “ESTE EQUIPAMENTO DEVERÁ APRESENTAR O SELO DE MARCAÇÃO DO INMETRO”.",29738,1,31.18,31.18,perda,2026-03,cancelado,Felipe Costa Alves,,2026-03-02 19:32:20,Entrega excluída - desconto cancelado automaticamente,2026-03-02 19:26:47,2026-03-02 19:32:20
