id,companyId,obraId,employeeId,dixiDeviceId,mesAno,horasNormais,horasExtras,horasNoturnas,totalHoras,diasTrabalhados,createdAt,updatedAt
300296,60002,90001,420168,,2025-12,53:35,1:50,0:00,55:25,7,2026-03-03 22:49:35,2026-03-03 22:49:35
300297,60002,90001,420169,,2025-12,62:18,1:34,0:00,63:52,8,2026-03-03 22:49:35,2026-03-03 22:49:35
300298,60002,90001,420171,,2025-12,33:50,1:30,0:00,35:20,4,2026-03-03 22:49:35,2026-03-03 22:49:35
300299,60002,90001,420176,,2025-12,42:14,2:04,0:00,44:18,7,2026-03-03 22:49:35,2026-03-03 22:49:35
300300,60002,90001,420177,,2025-12,46:30,1:12,0:00,47:42,7,2026-03-03 22:49:35,2026-03-03 22:49:35
300301,60002,90001,420178,,2025-12,71:46,10:38,0:00,82:24,10,2026-03-03 22:49:35,2026-03-03 22:49:35
300302,60002,90001,420179,,2025-12,74:52,1:16,0:00,76:08,9,2026-03-03 22:49:35,2026-03-03 22:49:35
300303,60002,90001,420180,,2025-12,71:56,11:02,0:00,82:58,10,2026-03-03 22:49:35,2026-03-03 22:49:35
300304,60002,90001,420193,,2025-12,13:58,1:07,0:00,15:05,3,2026-03-03 22:49:35,2026-03-03 22:49:35
300305,60002,90001,420197,,2025-12,36:29,3:31,0:00,40:00,6,2026-03-03 22:49:35,2026-03-03 22:49:35
300306,60002,90001,420199,,2025-12,36:12,3:21,0:00,39:33,5,2026-03-03 22:49:35,2026-03-03 22:49:35
300307,60002,90001,420211,,2025-12,71:55,10:18,0:00,82:13,10,2026-03-03 22:49:35,2026-03-03 22:49:35
300345,60002,120001,420055,,2025-12,79:12,0:47,0:00,79:59,10,2026-03-03 22:49:36,2026-03-03 22:49:36
300346,60002,120001,420057,,2025-12,0:00,0:00,0:00,0:00,2,2026-03-03 22:49:36,2026-03-03 22:49:36
300347,60002,120001,420058,,2025-12,36:04,0:39,0:00,36:43,7,2026-03-03 22:49:36,2026-03-03 22:49:36
300348,60002,120001,420062,,2025-12,47:08,7:06,0:00,54:14,9,2026-03-03 22:49:36,2026-03-03 22:49:36
300349,60002,120001,420074,,2025-12,77:31,15:08,0:00,92:39,11,2026-03-03 22:49:36,2026-03-03 22:49:36
300350,60002,120001,420075,,2025-12,53:00,3:08,0:00,56:08,7,2026-03-03 22:49:36,2026-03-03 22:49:36
300351,60002,120001,420078,,2025-12,21:08,0:32,0:00,21:40,4,2026-03-03 22:49:36,2026-03-03 22:49:36
300352,60002,120001,420084,,2025-12,43:17,2:36,0:00,45:53,5,2026-03-03 22:49:36,2026-03-03 22:49:36
300353,60002,120001,420089,,2025-12,48:12,0:00,0:00,48:12,6,2026-03-03 22:49:36,2026-03-03 22:49:36
300354,60002,120001,420096,,2025-12,15:11,0:30,0:00,15:41,2,2026-03-03 22:49:36,2026-03-03 22:49:36
300355,60002,120001,420115,,2025-12,49:04,0:19,0:00,49:23,7,2026-03-03 22:49:36,2026-03-03 22:49:36
300356,60002,120001,420122,,2025-12,67:21,2:49,0:00,70:10,8,2026-03-03 22:49:36,2026-03-03 22:49:36
300357,60002,120001,420124,,2025-12,60:57,1:51,0:00,62:48,10,2026-03-03 22:49:36,2026-03-03 22:49:36
300358,60002,120001,420127,,2025-12,36:53,0:55,0:00,37:48,5,2026-03-03 22:49:36,2026-03-03 22:49:36
300359,60002,120001,420135,,2025-12,57:44,16:29,0:00,74:13,11,2026-03-03 22:49:36,2026-03-03 22:49:36
300360,60002,120001,420139,,2025-12,76:10,17:40,0:00,93:50,11,2026-03-03 22:49:36,2026-03-03 22:49:36
300361,60002,120001,420140,,2025-12,14:21,8:52,0:00,23:13,5,2026-03-03 22:49:36,2026-03-03 22:49:36
300362,60002,120001,420143,,2025-12,40:00,36:57,0:00,76:57,12,2026-03-03 22:49:36,2026-03-03 22:49:36
300363,60002,120001,420151,,2025-12,79:00,10:42,0:00,89:42,11,2026-03-03 22:49:36,2026-03-03 22:49:36
300364,60002,120001,420152,,2025-12,42:39,2:15,0:00,44:54,5,2026-03-03 22:49:36,2026-03-03 22:49:36
300365,60002,120001,420167,,2025-12,44:00,0:41,0:00,44:41,5,2026-03-03 22:49:36,2026-03-03 22:49:36
300366,60002,120001,420170,,2025-12,35:00,8:52,0:00,43:52,7,2026-03-03 22:49:36,2026-03-03 22:49:36
300367,60002,120001,420172,,2025-12,61:58,9:27,0:00,71:25,8,2026-03-03 22:49:36,2026-03-03 22:49:36
300368,60002,120001,420173,,2025-12,69:03,2:20,0:00,71:23,10,2026-03-03 22:49:36,2026-03-03 22:49:36
300369,60002,120001,420174,,2025-12,70:00,11:19,0:00,81:19,10,2026-03-03 22:49:36,2026-03-03 22:49:36
300370,60002,120001,420175,,2025-12,9:00,0:15,0:00,9:15,2,2026-03-03 22:49:36,2026-03-03 22:49:36
