id,tipo,status,tabelasExportadas,registrosExportados,tamanhoBytes,s3Key,s3Url,erro,iniciadoPor,iniciadoEm,concluidoEm
1,automatico,concluido,159,62759,5127305,backups/erp-fc-backup-2026-03-05T07-50-34.json.gz,https://d2xsxph8kpxj0f.cloudfront.net/310419663028720190/W4MM458SKqYRWRGGQrfw8A/backups/erp-fc-backup-2026-03-05T07-50-34.json.gz,,Sistema (Job Diário),2026-03-05 07:50:29,2026-03-05 07:50:36
30001,automatico,concluido,159,64606,5253014,backups/erp-fc-backup-2026-03-07T12-18-33.json.gz,https://d2xsxph8kpxj0f.cloudfront.net/310419663028720190/W4MM458SKqYRWRGGQrfw8A/backups/erp-fc-backup-2026-03-07T12-18-33.json.gz,,Sistema (Job Diário),2026-03-07 12:18:31,2026-03-07 12:18:36
60001,automatico,concluido,159,64912,5259754,backups/erp-fc-backup-2026-03-10T08-52-28.json.gz,https://d2xsxph8kpxj0f.cloudfront.net/310419663028720190/W4MM458SKqYRWRGGQrfw8A/backups/erp-fc-backup-2026-03-10T08-52-28.json.gz,,Sistema (Job Diário),2026-03-10 08:52:24,2026-03-10 08:52:31
90001,automatico,concluido,159,65447,5477103,backups/erp-fc-backup-2026-03-13T00-14-09.json.gz,https://d2xsxph8kpxj0f.cloudfront.net/310419663028720190/W4MM458SKqYRWRGGQrfw8A/backups/erp-fc-backup-2026-03-13T00-14-09.json.gz,,Sistema (Job Diário),2026-03-13 00:14:04,2026-03-13 00:14:12
120001,automatico,concluido,159,65576,5479490,backups/erp-fc-backup-2026-03-13T20-05-44.json.gz,https://d2xsxph8kpxj0f.cloudfront.net/310419663028720190/W4MM458SKqYRWRGGQrfw8A/backups/erp-fc-backup-2026-03-13T20-05-44.json.gz,,Sistema (Job Diário),2026-03-13 20:05:41,2026-03-13 20:05:47
