id,companyId,employeeId,mesReferencia,periodId,valorHora,cargaHorariaDiaria,diasUteisNoMes,salarioBrutoMes,horasExtrasValor,adicionaisValor,adicionaisDetalhes,totalProventos,descontoAdiantamento,descontoFaltas,descontoFaltasQtd,descontoAtrasos,descontoAtrasosMinutos,descontoVrFaltas,descontoVtFaltas,descontoPensao,descontoInss,descontoIrrf,descontoFgts,descontoEpi,descontoOutros,descontoOutrosDetalhes,totalDescontos,acertoEscuroValor,acertoEscuroDetalhes,salarioLiquido,status,dataPagamento,dataPagamentoPrevista,consolidadoPor,consolidadoEm,bancoDestino,observacoes,createdAt,updatedAt,vaValor,vtValor,vrValor,seguroVidaValor,contribSindicalValor,fgtsValor,inssValor,dissidioValor,convencaoValor,ddsValor,rateioPorObra
407,60002,420069,2026-01,,"12,61",8,27,2723.76,0.00,0,,2723.76,1089.50,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0,217.90,0,0,,1089.50,0.00,[],1634.26,simulado,,2026-02-06 00:00:00,,,,,2026-03-03 22:21:43,2026-03-03 22:21:43,0.00,0.00,270.00,0.00,0,217.90,0.00,0,0,0,[]
408,60002,420070,2026-01,,"12,61",8,27,2723.76,0.00,0,,2723.76,1089.50,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0,217.90,0,0,,1089.50,0.00,[],1634.26,simulado,,2026-02-06 00:00:00,,,,,2026-03-03 22:21:43,2026-03-03 22:21:43,0.00,0.00,270.00,0.00,0,217.90,0.00,0,0,0,[]
409,60002,420071,2026-01,,"10,11",8,27,2183.76,0.00,0,,2183.76,873.50,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0,174.70,0,0,,873.50,0.00,[],1310.26,simulado,,2026-02-06 00:00:00,,,,,2026-03-03 22:21:43,2026-03-03 22:21:43,0.00,0.00,270.00,0.00,0,174.70,0.00,0,0,0,[]
410,60002,420072,2026-01,,"11,85",8,27,2559.60,0.00,0,,2559.60,1023.84,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0,204.77,0,0,,1023.84,0.00,[],1535.76,simulado,,2026-02-06 00:00:00,,,,,2026-03-03 22:21:43,2026-03-03 22:21:43,0.00,0.00,270.00,0.00,0,204.77,0.00,0,0,0,[]
411,60002,420073,2026-01,,"9,95",8,27,2149.20,0.00,0,,2149.20,859.68,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0,171.94,0,0,,859.68,0.00,[],1289.52,simulado,,2026-02-06 00:00:00,,,,,2026-03-03 22:21:43,2026-03-03 22:21:43,0.00,0.00,270.00,0.00,0,171.94,0.00,0,0,0,[]
412,60002,420074,2026-01,,"9,95",8,27,2149.20,0.00,0,,2149.20,859.68,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0,171.94,0,0,,859.68,0.00,[],1289.52,simulado,,2026-02-06 00:00:00,,,,,2026-03-03 22:21:43,2026-03-03 22:21:43,0.00,0.00,270.00,0.00,0,171.94,0.00,0,0,0,[]
413,60002,420075,2026-01,,"13,50",8,27,2916.00,0.00,0,,2916.00,1166.40,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0,233.28,0,0,,1166.40,0.00,[],1749.60,simulado,,2026-02-06 00:00:00,,,,,2026-03-03 22:21:43,2026-03-03 22:21:43,0.00,0.00,270.00,0.00,0,233.28,0.00,0,0,0,[]
414,60002,420076,2026-01,,"11,31",8,27,2442.96,0.00,0,,2442.96,977.18,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0,195.44,0,0,,977.18,0.00,[],1465.78,simulado,,2026-02-06 00:00:00,,,,,2026-03-03 22:21:43,2026-03-03 22:21:43,0.00,0.00,270.00,0.00,0,195.44,0.00,0,0,0,[]
415,60002,420077,2026-01,,"12,61",8,27,2723.76,0.00,0,,2723.76,1089.50,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0,217.90,0,0,,1089.50,0.00,[],1634.26,simulado,,2026-02-06 00:00:00,,,,,2026-03-03 22:21:43,2026-03-03 22:21:43,0.00,0.00,270.00,0.00,0,217.90,0.00,0,0,0,[]
416,60002,420078,2026-01,,"13,50",8,27,2916.00,0.00,0,,2916.00,1166.40,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0,233.28,0,0,,1166.40,0.00,[],1749.60,simulado,,2026-02-06 00:00:00,,,,,2026-03-03 22:21:43,2026-03-03 22:21:43,0.00,0.00,270.00,0.00,0,233.28,0.00,0,0,0,[]
