id,companyId,employeeId,obraId,tipo,dataInicio,dataFim,motivoTransferencia,obraOrigemId,registradoPor,registradoPorUserId,observacoes,createdAt
46,60002,420058,90004,alocacao,2026-02-28 00:00:00,,,,Felipe Costa Alves,601043,,2026-02-28 20:47:46
47,60002,420144,90005,alocacao,2026-02-28 00:00:00,,,,Felipe Costa Alves,601043,,2026-02-28 20:48:37
48,60002,420110,90005,alocacao,2026-02-28 00:00:00,,,,Felipe Costa Alves,601043,,2026-02-28 20:48:37
49,60002,420099,90005,alocacao,2026-02-28 00:00:00,,,,Felipe Costa Alves,601043,,2026-02-28 20:48:37
50,60002,420101,90005,alocacao,2026-02-28 00:00:00,,,,Felipe Costa Alves,601043,,2026-02-28 20:48:37
51,60002,420136,90005,alocacao,2026-02-28 00:00:00,,,,Felipe Costa Alves,601043,,2026-02-28 20:48:37
52,60002,420100,90005,alocacao,2026-02-28 00:00:00,,,,Felipe Costa Alves,601043,,2026-02-28 20:48:37
53,60002,420109,90005,alocacao,2026-02-28 00:00:00,,,,Felipe Costa Alves,601043,,2026-02-28 20:48:37
54,60002,420181,90005,alocacao,2026-02-28 00:00:00,,,,Felipe Costa Alves,601043,,2026-02-28 20:48:37
55,60002,450001,180001,alocacao,2026-02-28 00:00:00,,,,Felipe Costa Alves,601043,,2026-02-28 20:51:56
56,60002,420084,180001,alocacao,2026-02-28 00:00:00,,,,Felipe Costa Alves,601043,,2026-02-28 20:51:56
57,60002,420124,180001,alocacao,2026-02-28 00:00:00,,,,Felipe Costa Alves,601043,,2026-02-28 20:51:56
58,60002,420165,210001,alocacao,2026-02-28 00:00:00,,,,Felipe Costa Alves,601043,,2026-02-28 20:53:54
59,60002,420071,210001,alocacao,2026-02-28 00:00:00,,,,Felipe Costa Alves,601043,,2026-02-28 20:53:54
60,60002,420086,210001,alocacao,2026-02-28 00:00:00,,,,Felipe Costa Alves,601043,,2026-02-28 20:53:54
61,60002,420161,210001,alocacao,2026-02-28 00:00:00,,,,Felipe Costa Alves,601043,,2026-02-28 20:53:54
62,60002,420163,210001,alocacao,2026-02-28 00:00:00,,,,Felipe Costa Alves,601043,,2026-02-28 20:53:54
63,60002,420164,210001,alocacao,2026-02-28 00:00:00,,,,Felipe Costa Alves,601043,,2026-02-28 20:53:54
64,60002,420113,180001,alocacao,2026-02-28 00:00:00,,,,Felipe Costa Alves,601043,,2026-02-28 20:54:20
65,60002,420080,180001,alocacao,2026-02-28 00:00:00,,,,Felipe Costa Alves,601043,,2026-02-28 20:54:20
66,60002,420113,180001,saida,2026-02-28 00:00:00,2026-02-28 00:00:00,Transferência para outra obra,,Felipe Costa Alves,601043,,2026-02-28 20:54:43
67,60002,420113,210001,transferencia,2026-02-28 00:00:00,,,180001,Felipe Costa Alves,601043,,2026-02-28 20:54:43
68,60002,420080,180001,saida,2026-02-28 00:00:00,2026-02-28 00:00:00,Transferência para outra obra,,Felipe Costa Alves,601043,,2026-02-28 20:54:56
69,60002,420080,210001,transferencia,2026-02-28 00:00:00,,,180001,Felipe Costa Alves,601043,,2026-02-28 20:54:56
70,60002,420076,90002,alocacao,2026-02-28 00:00:00,,,,Felipe Costa Alves,601043,,2026-02-28 20:55:27
71,60002,420077,90002,alocacao,2026-02-28 00:00:00,,,,Felipe Costa Alves,601043,,2026-02-28 20:55:27
72,60002,420170,150001,alocacao,2026-02-28 00:00:00,,,,Felipe Costa Alves,601043,,2026-02-28 20:57:37
73,60002,420121,90001,alocacao,2026-02-28 00:00:00,,,,Felipe Costa Alves,601043,,2026-02-28 21:30:13
74,60002,420128,90001,alocacao,2026-02-28 00:00:00,,,,Felipe Costa Alves,601043,,2026-02-28 21:30:13
75,60002,420069,240002,alocacao,2026-02-28 00:00:00,,,,Felipe Costa Alves,601043,,2026-02-28 21:30:29
76,60002,420153,90001,alocacao,2026-02-28 00:00:00,,,,Felipe Costa Alves,601043,,2026-02-28 21:31:52
77,60002,420121,90001,saida,2026-02-28 00:00:00,2026-02-28 00:00:00,Transferência para outra obra,,Felipe Costa Alves,601043,,2026-02-28 21:31:52
78,60002,420121,90001,transferencia,2026-02-28 00:00:00,,,90001,Felipe Costa Alves,601043,,2026-02-28 21:31:52
79,60002,420082,90001,alocacao,2026-02-28 00:00:00,,,,Felipe Costa Alves,601043,,2026-02-28 21:31:52
80,60002,420060,90002,alocacao,2026-02-28 00:00:00,,,,Felipe Costa Alves,601043,,2026-02-28 21:34:03
81,60002,420073,90002,alocacao,2026-02-28 00:00:00,,,,Felipe Costa Alves,601043,,2026-02-28 21:34:03
