codigo_interno,nome,unidade,quantidade_atual,tipo_controle,categoria,empresa
MAT-0043,Lapis de Carpintaria Irwin,un,0.000,estoque,material,FC ENGENHARIA E CONSTRUCAO LTDA
MAT-0044,Estilete,un,2.000,estoque,material,FC ENGENHARIA E CONSTRUCAO LTDA
MAT-0045,Lâmina de Repor para Estilete com 10 unidades,un,30.000,estoque,material,FC ENGENHARIA E CONSTRUCAO LTDA
MAT-0046,Serra Copo 40mm,un,2.000,estoque,material,FC ENGENHARIA E CONSTRUCAO LTDA
MAT-0047,"Serra Copo 48mm (1.7/8"")",un,1.000,estoque,material,FC ENGENHARIA E CONSTRUCAO LTDA
MAT-0048,SERRA COPO 76 MM,un,1.000,estoque,material,FC ENGENHARIA E CONSTRUCAO LTDA
MAT-0049,SERRA COPO FERRO  102 MM  ROCAST,un,3.000,estoque,material,FC ENGENHARIA E CONSTRUCAO LTDA
MAT-0050,SERRA COPO 102 MM MADEIRA - BRASFORT,un,2.000,estoque,material,FC ENGENHARIA E CONSTRUCAO LTDA
MAT-0051,Espátula Plástica para Aplicação,un,20.000,estoque,material,FC ENGENHARIA E CONSTRUCAO LTDA
MAT-0052,Veda-Rosca 18mm x 10m,rolo,0.000,estoque,material,FC ENGENHARIA E CONSTRUCAO LTDA
MAT-0053,Espátula para Massa Tigre 3 Polegadas,un,3.000,estoque,material,FC ENGENHARIA E CONSTRUCAO LTDA
MAT-0054,PINCEL 25 MM,un,0.000,estoque,material,FC ENGENHARIA E CONSTRUCAO LTDA
MAT-0055,RODEL PARA CORTE DE PISO,un,5.000,estoque,material,FC ENGENHARIA E CONSTRUCAO LTDA
MAT-0056,Fita Dupla Face Extreme 24mm x 2m,rolo,0.000,estoque,material,FC ENGENHARIA E CONSTRUCAO LTDA
MAT-0057,Escova de Aço com Cabo de Madeira,un,0.000,estoque,material,FC ENGENHARIA E CONSTRUCAO LTDA
MAT-0058,Aplicador de Rejunte EVA,un,9.000,estoque,material,FC ENGENHARIA E CONSTRUCAO LTDA
MAT-0059,Fita Crepe Larga,rolo,29.000,estoque,material,FC ENGENHARIA E CONSTRUCAO LTDA
MAT-0060,Lâmpada LED Bulbo Alta Potência,un,0.000,estoque,material,FC ENGENHARIA E CONSTRUCAO LTDA
MAT-0061,"Disco de Corte Rápido para Aço Inoxidável 4.1/2"" 115mm",un,0.000,estoque,material,FC ENGENHARIA E CONSTRUCAO LTDA
MAT-0062,Disco de Corte Diamantado Segmentado Eco 110mm,un,0.000,estoque,material,FC ENGENHARIA E CONSTRUCAO LTDA
MAT-0063,DISCO MAKITA PARA  DIAMANTADO PISO - NORTON,un,0.000,estoque,material,FC ENGENHARIA E CONSTRUCAO LTDA
MAT-0064,Disco de Corte Diamantado Contínuo PRO 110x20mm,un,4.000,estoque,material,FC ENGENHARIA E CONSTRUCAO LTDA
MAT-0065,"Disco de Desbaste para Metal 180x6,4x22,23mm",un,7.000,estoque,material,FC ENGENHARIA E CONSTRUCAO LTDA
MAT-0066,Compound Adesivo Base Epóxi Média Fluidez,kg,11.000,estoque,material,FC ENGENHARIA E CONSTRUCAO LTDA
MAT-0067,Prego com Cabeça 17x27,kg,0.000,estoque,material,FC ENGENHARIA E CONSTRUCAO LTDA
MAT-0068,Prego com Cabeça 15x15,kg,4.000,estoque,material,FC ENGENHARIA E CONSTRUCAO LTDA
MAT-0069,Prego para Taco 15x10,kg,0.000,estoque,material,FC ENGENHARIA E CONSTRUCAO LTDA
MAT-0070,Prego com Cabeça 22x48,kg,1.000,estoque,material,FC ENGENHARIA E CONSTRUCAO LTDA
MAT-0071,Prego com Cabeça 12x12,kg,0.000,estoque,material,FC ENGENHARIA E CONSTRUCAO LTDA
MAT-0072,Prego de Aço 18x30,kg,7.000,estoque,material,FC ENGENHARIA E CONSTRUCAO LTDA
MAT-0073,Prego com Cabeça 17x21,kg,23.000,estoque,material,FC ENGENHARIA E CONSTRUCAO LTDA
MAT-0074,Disco de Corte Diamantado 121mm,un,5.000,estoque,material,FC ENGENHARIA E CONSTRUCAO LTDA
MAT-0075,Rebolo Copo Abrasivo Cortag Grão 60,un,1.000,estoque,material,FC ENGENHARIA E CONSTRUCAO LTDA
MAT-0076,RASPADOR DE REJUNTE Manual,un,2.000,estoque,material,FC ENGENHARIA E CONSTRUCAO LTDA
MAT-0077,"Disco de Serra Circular Thompson 7.1/4"" 184mm 36 Dentes",un,2.000,estoque,material,FC ENGENHARIA E CONSTRUCAO LTDA
MAT-0078,Disco de Desbaste Diamantado Turbo para Concreto,un,7.000,estoque,material,FC ENGENHARIA E CONSTRUCAO LTDA
MAT-0079,Pincel Tigre 5 Cerdas Pretas Cabo Plástico Amarelo,un,0.000,estoque,material,FC ENGENHARIA E CONSTRUCAO LTDA
MAT-0080,Lâmpada LED Bulbo T60 20W Luz Branca E27 6500K,un,1.000,estoque,material,FC ENGENHARIA E CONSTRUCAO LTDA
MAT-0081,Lâmpada LED Bulbo 20W,un,1.000,estoque,material,FC ENGENHARIA E CONSTRUCAO LTDA
MAT-0082,"Disco de Serra Circular TCT 7.1/4"" 24 Dentes",un,0.000,estoque,material,FC ENGENHARIA E CONSTRUCAO LTDA
MAT-0083,Caixa de Passagem para Embutir,un,191.000,estoque,material,FC ENGENHARIA E CONSTRUCAO LTDA
MAT-0084,Registro de Pressão Acabamento Cruz Cromado,un,702.000,estoque,material,FC ENGENHARIA E CONSTRUCAO LTDA
MAT-0085,Sifão Flexível Cromado Universal,un,226.000,estoque,material,FC ENGENHARIA E CONSTRUCAO LTDA
MAT-0086,VALVULA ESCOAMENTO LAVATÓRIO  CROMADO,un,232.000,estoque,material,FC ENGENHARIA E CONSTRUCAO LTDA
MAT-0087,KIT INSTALAÇÃO P/BACIA  CROMADO - 1200C KIT P,kit,7.000,estoque,material,FC ENGENHARIA E CONSTRUCAO LTDA
MAT-0088,KIT BACIA P/CX ACOPLADA CROMADO RAVENA,un,128.000,estoque,material,FC ENGENHARIA E CONSTRUCAO LTDA
MAT-0089,"Kit Fixação para Lavatório com Buchas, Parafusos e Presilhas",kit,7.000,estoque,material,FC ENGENHARIA E CONSTRUCAO LTDA
MAT-0090,PARAFUSO P/ FIXAÇÃO DE VASO  SANITÁRIO ,un,3.000,estoque,material,FC ENGENHARIA E CONSTRUCAO LTDA
MAT-0091,Canopla Cromada para Registro,un,2.000,estoque,material,FC ENGENHARIA E CONSTRUCAO LTDA
MAT-0092,Caixa de Distribuição de Embutir para Disjuntores,un,69.000,estoque,material,FC ENGENHARIA E CONSTRUCAO LTDA
MAT-0093,Aluguel de Impressora,un,1.000,estoque,material,FC ENGENHARIA E CONSTRUCAO LTDA
MAT-0094,Chapisco Rolado 20Kg Quartzolit,kg,1200.000,estoque,material,FC ENGENHARIA E CONSTRUCAO LTDA
MAT-0095,Arco de Serra Manual,un,5.000,estoque,material,FC ENGENHARIA E CONSTRUCAO LTDA
MAT-0096,FURADEIRA DE PAREDE E CONCRETO-,un,1.000,estoque,material,FC ENGENHARIA E CONSTRUCAO LTDA
MAT-0097,VENTOSA VIBRATORIA PISO,un,5.000,estoque,material,FC ENGENHARIA E CONSTRUCAO LTDA
MAT-0098,SERROTE  PARA MADEIRA,un,4.000,estoque,material,FC ENGENHARIA E CONSTRUCAO LTDA
MAT-0099,"Serra Mármore 1400W 4.3/8""",un,2.000,estoque,material,FC ENGENHARIA E CONSTRUCAO LTDA
MAT-0100,"Esmerilhadeira Angular 4.1/2"" GWS 7-115",un,3.000,estoque,material,FC ENGENHARIA E CONSTRUCAO LTDA
MAT-0101,DUTO BOCA - C/ SUPORTE P/ PISO E JANELA - LARANJA,un,56.000,estoque,material,FC ENGENHARIA E CONSTRUCAO LTDA
MAT-0102,DUTO RETO LARANJA,un,36.000,estoque,material,FC ENGENHARIA E CONSTRUCAO LTDA
MAT-0103,CARRINHO TIPO GERICA 120 KG / 100 LT IMARC I-64,pç,2.000,estoque,material,FC ENGENHARIA E CONSTRUCAO LTDA
MAT-0104,"VONDER COLHER PARA PEDREIRO 8"" RETA PLUS - 33.54.408.000",pç,2.000,estoque,material,FC ENGENHARIA E CONSTRUCAO LTDA
MAT-0105,LINHA PEDREIRO 100M,pç,5.000,estoque,material,FC ENGENHARIA E CONSTRUCAO LTDA
