Nº Cheque;Banco;Fornecedor;Obra;NF;Parcela;Vencimento;Valor
1106;CAIXA ECONOMICA;COIMBRA;;;6/6;02/06/2025;2951,85
215;CAIXA ECONOMICA;ELETROGUARA;;;3/5;02/06/2025;2071,05
246;CAIXA ECONOMICA;FERRAGENS SANTA RITA;;;2/5;02/06/2025;6769,56
253;CAIXA ECONOMICA;JCL SERRALHERIA;;;2/2;02/06/2025;1205,41
235;CAIXA ECONOMICA;J ALVES;;;3/6;03/06/2025;3663,50
269;CAIXA ECONOMICA;J ALVES;;;2/7;04/06/2025;5076,64
277;CAIXA ECONOMICA;JEFCAR AUTO PEÇAS;;;2/4;04/06/2025;1387,50
1220;CAIXA ECONOMICA;GILÓ;;;1/1;05/06/2025;1800,00
254;CAIXA ECONOMICA;TLO SOLUÇÕES;;;2/2;06/06/2025;500,14
255;CAIXA ECONOMICA;TLO SOLUÇÕES;;;1/2;06/06/2025;500,14
336;CAIXA ECONOMICA;J ALVES;;;1/7;06/06/2025;3174,00
372;CAIXA ECONOMICA;COIMBRA;;;1/6;06/06/2025;2569,04
257;CAIXA ECONOMICA;ELETROGUARA;;;2/3;07/06/2025;850,04
381;CAIXA ECONOMICA;PADROEIRA ENTULHO;;;1/2;08/06/2025;1000,00
1169;CAIXA ECONOMICA;SILK MANIA;;;5/5;09/06/2025;3635,00
199;CAIXA ECONOMICA;FÁBIO PIRES;;;4/6;09/06/2025;50000,00
902854;CAIXA ECONOMICA;J ALVES;;;6/7;10/06/2025;2492,71
283;CAIXA ECONOMICA;COIMBRA;;;2/6;11/06/2025;10487,07
107;CAIXA ECONOMICA;TINTAS AVENIDA;;;4/4;14/06/2025;2182,15
228;CAIXA ECONOMICA;COIMBRA;;;3/6;14/06/2025;2338,10
176;CAIXA ECONOMICA;FERRAGENS SANTA RITA;;;3/3;15/06/2025;3039,83
344;CAIXA ECONOMICA;RVAN;;;1/3;15/06/2025;5336,66
383;CAIXA ECONOMICA;JILÓ;;;1/1;15/06/2025;1000,00
220;CAIXA ECONOMICA;MANUTENÇÃO HR;;;3/3;16/06/2025;1000,00
294;CAIXA ECONOMICA;FERRAGENS SANTA RITA;;;2/3;16/06/2025;5539,17
303;CAIXA ECONOMICA;GILÓ;;;2/2;16/06/2025;2050,00
306;CAIXA ECONOMICA;TINTAS AVENIDA;;;2/5;17/06/2025;2266,83
412;CAIXA ECONOMICA;CASA BRASIL;;;1/3;28/06/2025;3283,33
1216;CAIXA ECONOMICA;JCL SERRALHERIA;;;2/2;29/06/2025;1694,75
332;CAIXA ECONOMICA;J ALVES;;;2/5;30/06/2025;2195,50
409;CAIXA ECONOMICA;MADEPARK;;;1/3;02/07/2025;3316,66
278;CAIXA ECONOMICA;JEFCAR AUTO PEÇAS;;;3/4;04/07/2025;1387,50
337;CAIXA ECONOMICA;J ALVES;;;2/7;06/07/2025;3174,00
258;CAIXA ECONOMICA;ELETROGUARA;;;3/3;07/07/2025;850,04
382;CAIXA ECONOMICA;PADROEIRA ENTULHO;;;2/2;08/07/2025;1000,00
402;CAIXA ECONOMICA;JILÓ;;;1/1;09/07/2025;2000,00
212;CAIXA ECONOMICA;DECOLAR MARMORARIA;;;4/4;10/07/2025;26723,00
459;CAIXA ECONOMICA;TINTAS AVENIDA;;;1/4;12/07/2025;2696,35
464;CAIXA ECONOMICA;JILÓ;;;2/2;12/07/2025;2700,00
229;;COIMBRA;;;4/6;14/07/2025;2338,10
415;CAIXA ECONOMICA;JCL SERRALHERIA;;;1/2;15/07/2025;1250,19
187;CAIXA ECONOMICA;TINTAS AVENIDA;;;4/4;16/07/2025;1817,21
504;CAIXA ECONOMICA;DECOLAR;;;1/5;25/07/2025;11000,00
509;CAIXA ECONOMICA;RATO (MANUT BOMBA - LOCNOW);;;1/1;26/07/2025;2900,00
413;CAIXA ECONOMICA;CASA BRASIL;;;2/3;28/07/2025;3283,33
419;CAIXA ECONOMICA;ELETROGUARA;;;2/5;30/07/2025;9372,25
385;CAIXA ECONOMICA;FERRAGENS SANTA RITA;;;2/3;31/07/2025;5009,33
645;CAIXA ECONOMICA;REGIS PAPELARIA;;;1/1;01/08/2025;1664,70
416;CAIXA ECONOMICA;JCL SERRALHERIA;;;2/2;04/08/2025;1250,19
510;CAIXA ECONOMICA;JCL SERRALHERIA;;;1/1;24/08/2025;1057,20
420;CAIXA ECONOMICA;ELETROGUARA;;;3/5;30/08/2025;9372,25
361;CAIXA ECONOMICA;J ALVES;;;3/6;25/09/2025;2047,42
1001;CAIXA ECONOMICA;FERRAGENS SANTA RITA;;;1/6;23/11/2025;6581,26
1107;CAIXA ECONOMICA;FERRAGENS SANTA RITA;;;1/3;29/11/2025;9596,33
1046;CAIXA ECONOMICA;ZEZINHO;;;2/3;28/12/2025;1256,28
;;;;;;TOTAL;2520717,17
